month,product,units_sold,avg_price,is_promo_month
2024-01,Widget-A,1200,29.99,1
2024-02,Widget-A,980,29.99,0
2024-03,Widget-A,1050,29.99,0
2024-04,Widget-A,1100,29.99,0
2024-05,Widget-A,1150,27.99,1
2024-06,Widget-A,1080,29.99,0
2024-07,Widget-A,1020,29.99,0
2024-08,Widget-A,1090,29.99,0
2024-09,Widget-A,1140,29.99,0
2024-10,Widget-A,1200,29.99,0
2024-11,Widget-A,1480,26.99,1
2024-12,Widget-A,1620,24.99,1
2024-01,Sensor-B,340,89.50,0
2024-02,Sensor-B,310,89.50,0
2024-03,Sensor-B,325,89.50,0
2024-04,Sensor-B,360,85.00,1
2024-05,Sensor-B,370,89.50,0
2024-06,Sensor-B,355,89.50,0
2024-07,Sensor-B,380,89.50,0
2024-08,Sensor-B,400,89.50,0
2024-09,Sensor-B,415,89.50,0
2024-10,Sensor-B,430,89.50,0
2024-11,Sensor-B,445,89.50,0
2024-12,Sensor-B,460,84.00,1
